# gunzip -c exp/tri1_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Dec 13 20:24:22 SAST 2017
#
At utterance begin, sil accounts for 92.9% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.9,45) frames.
Overall, aa_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.4,11) frames.
Overall, l_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,9) frames.
Overall, ey_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,26) frames.
Overall, ae_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,16) frames.
Overall, s_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,11) frames.
Overall, ah_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.2,18) frames.
Overall, p_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,11) frames.
Overall, ow_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,23) frames.
Overall, t_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,12) frames.
Overall, eh_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, p_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.4,24) frames.
Overall, ih_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,7) frames.
Overall, t_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,21) frames.
Overall, s_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,16) frames.
Overall, iy_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.4,21) frames.
Overall, n_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,10) frames.
Overall, iy_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,12) frames.
Overall, ah_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,6) frames.
Overall, ay_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.2,20) frames.
Overall, n_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,17) frames.
Overall, ih_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, er_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,12.5,21) frames.
Overall, d_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,9) frames.
Overall, ow_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,9) frames.
Overall, t_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,13) frames.
Overall, w_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
Overall, ch_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.3,28) frames.
Overall, m_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, f_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,16) frames.
Overall, eh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,15) frames.
Overall, d_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.7,5) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, f_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,14) frames.
Overall, ng_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,11) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, r_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,16) frames.
Overall, v_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,11) frames.
Overall, w_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.7,9) frames.
Overall, l_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,21) frames.
Overall, k_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.2,24) frames.
Overall, aw_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.6,20) frames.
Overall, n_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,11) frames.
Overall, b_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,10) frames.
Overall, ch_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,14) frames.
Overall, y_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.5,14) frames.
The optional-silence phone sil occupies 43.0% of frames overall 
Limiting the stats to the 56.8% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.3% of frames.
Assuming 100 frames per second, the alignments represent 1.3 hours of data, or 0.8 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.8% of utterance-internal phones, with duration (median, mean, 95-percentile) = (9,15.6,46)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Dec 13 20:24:22 SAST 2017, elapsed time 0 seconds
